Address: 0x00000000, Data: 0x00000080
Address: 0x00000001, Data: 0x00000080
Address: 0x00000002, Data: 0x00000080
Address: 0x00000003, Data: 0x00000080
Address: 0x00000004, Data: 0x000000a3
Address: 0x00000005, Data: 0x000000a3
Address: 0x00000006, Data: 0x000000a3
Address: 0x00000007, Data: 0x000000a3
Address: 0x00000008, Data: 0x000000a7
Address: 0x00000009, Data: 0x000000a7
Address: 0x0000000a, Data: 0x000000a7
Address: 0x0000000b, Data: 0x000000a7
Address: 0x0000000c, Data: 0x000000a9
Address: 0x0000000d, Data: 0x000000a9
Address: 0x0000000e, Data: 0x000000a9
Address: 0x0000000f, Data: 0x000000a9
Address: 0x00000010, Data: 0x00000082
Address: 0x00000011, Data: 0x00000082
Address: 0x00000012, Data: 0x00000082
Address: 0x00000013, Data: 0x00000082
